constant,shipped_value,location,measured_against,n,p50,p75,p90,verdict
STATIC_FLOOR_DWELL_MIN,45,dispatching/scheduler.py:195,"arrival dwell gate->in car, all drivers",3956,39.2,53.8,77.7,"TIGHT: reality is +9 min at P75, +33 at P90"
ARRIVAL_DWELL_MIN,45,dispatching/pickup_policy.py:63,"arrival dwell gate->in car, all drivers",3956,39.2,53.8,77.7,"TIGHT: reality is +9 min at P75, +33 at P90"
STATIC_FLOOR_DWELL_MIN (gold),45,dispatching/scheduler.py:195,"arrival dwell gate->in car, GOLD only",1291,37.2,45.2,58.0,"ok at P75, TIGHT at P90 (+13)"
(arrival dwell as tapped),45,dispatching/scheduler.py:195,"on-location->picked-up, ARRIVAL, all drivers",6597,26.9,44.6,65.0,"ok at P75, TIGHT at P90 (+20)"
FALLBACK_TRIP_DURATION_MINUTES,75,ops/tasks.py:31,occupancy on-location->completed,14222,53.3,74.6,97.6,"ok at P75, TIGHT at P90 (+23)"
second fallback timedelta(60),60,ops/views.py:1762,occupancy on-location->completed,14222,53.3,74.6,97.6,"TIGHT: reality is +15 min at P75, +38 at P90"
ARRIVAL_MEET_GRACE_MIN,10,dispatching/pickup_policy.py:46,driver on-location minus gate actual,3806,11.9,25.1,41.8,"TIGHT: reality is +15 min at P75, +32 at P90"
DEPLANING_GRACE_MIN,10,dispatching/feasibility_guards.py:39,driver on-location minus gate actual,3806,11.9,25.1,41.8,"TIGHT: reality is +15 min at P75, +32 at P90"
PAX_READY_MIN,15,dispatching/pickup_policy.py:52,"GUEST-ONLY dwell: gate->picked-up, driver already there",1034,36.6,47.9,69.5,"TIGHT: reality is +33 min at P75, +54 at P90"
ARRIVAL_DWELL_MIN (guest-only),45,dispatching/pickup_policy.py:63,"GUEST-ONLY dwell: gate->picked-up, driver already there",1034,36.6,47.9,69.5,"ok at P75, TIGHT at P90 (+24)"
MAX_DWELL_MINUTES,120,dispatching/analytics.py:26,"on-location->picked-up, all trips",13821,17.4,36.5,56.7,[not comparable] discard cap; it removes 1.67% of dwells
MIN_PICKUP_TO_COMPLETE,2,dispatching/analytics.py:434,ride pu->comp,12046,35.3,46.4,62.0,"[not comparable] plausibility floor; it removes 18.63% of rides — and that share is the fabrication rate, not noise"
SAFETY_PAD_MIN,0,dispatching/feasibility_guards.py:44,REQUIRED turnaround — nothing in the DB records it,0,,,,[unavailable] — REQUIRED turnaround — nothing in the DB records it
MIN_TURN_BUFFER_DEFAULT,5,dispatching/feasibility_guards.py:64,REQUIRED turnaround — nothing in the DB records it,0,,,,[unavailable] — REQUIRED turnaround — nothing in the DB records it
